seed,n,diff,lo,hi,how,verdict,z
0,9000,-0.00917391111111119,-0.09447063851852475,0.08293661407406788,block,UNDERPOWERED,-0.20270350004539422
1,9000,0.12941721481481483,0.04272512796297486,0.21546236944445674,block,UNDERPOWERED,2.9368661886903684
2,9000,-0.05756602222222241,-0.13720207851850902,0.021663570185193805,block,UNDERPOWERED,-1.4204119279327394
3,9000,0.09983440740740746,0.0053538018518588006,0.19069957000000515,block,UNDERPOWERED,2.111425002414428
4,9000,-0.024338044444444665,-0.10178771796296478,0.062387360185182796,block,UNDERPOWERED,-0.5811075771009131
5,9000,-0.00482718518518533,-0.08955947111111229,0.08766866185185127,block,UNDERPOWERED,-0.10676757720258472
6,9000,0.012162007407407728,-0.0761928712963055,0.098360690555546,block,UNDERPOWERED,0.27312071358914686
7,9000,-0.08290196296296286,-0.17385033462960786,0.015042634629651924,block,UNDERPOWERED,-1.720390796692136
8,9000,-0.05034091111111121,-0.13944092648147974,0.04126219203703966,block,UNDERPOWERED,-1.0920273464441195
9,9000,0.02955287407407402,-0.056710474259264204,0.11892269629629107,block,UNDERPOWERED,0.6595857616018688
10,9000,0.0035051185185182784,-0.08358575777778014,0.09309646462962728,block,UNDERPOWERED,0.07776567464934872
11,9000,-0.013359044444444398,-0.11034348000000803,0.08719119888888165,block,UNDERPOWERED,-0.2651002480454453
12,9000,-0.006614696296296775,-0.09323024148148613,0.07881900333332775,block,UNDERPOWERED,-0.15070762589663783
13,9000,0.01409265925925935,-0.06893282592593088,0.10058235037036493,block,UNDERPOWERED,0.32588356294584536
14,9000,-0.019596859259259095,-0.10579575499998363,0.07130237314816035,block,UNDERPOWERED,-0.433761091241856
15,9000,0.045455503703703964,-0.04201848092592996,0.14717090370370012,block,UNDERPOWERED,0.9418197647350806
16,9000,-0.10447624444444434,-0.18935310759256913,-0.01595349037034657,block,NEGATIVE,-2.3618238753536076
17,9000,-0.012319222222221766,-0.09954100055556052,0.07337707148147765,block,UNDERPOWERED,-0.27926788425425975
18,9000,-0.02895585185185192,-0.11958470518518272,0.0569346292592606,block,UNDERPOWERED,-0.6430165556377059
19,9000,0.08798390370370406,-0.0037202218518381427,0.17476275314815598,block,UNDERPOWERED,1.9323443464423686
20,9000,0.04627920000000022,-0.05337099555555839,0.14122951870370157,block,UNDERPOWERED,0.9322232913316596
21,9000,0.03049033333333307,-0.059964348333334985,0.13061400333333087,block,UNDERPOWERED,0.6271431687672159
22,9000,0.01778128888888877,-0.07182069351852247,0.10446554148147848,block,UNDERPOWERED,0.39538749121077776
23,9000,0.014919333333333479,-0.08566355092593729,0.10934884148147116,block,UNDERPOWERED,0.29989228762697595
24,9000,0.0015037777777779822,-0.09297730851852354,0.0915763196296251,block,UNDERPOWERED,0.03194031282960082
25,9000,0.04941411851851866,-0.03517326296296538,0.13520567185184867,block,UNDERPOWERED,1.1368763807955093
26,9000,-0.03425162962962964,-0.12159142314814649,0.05674567537037073,block,UNDERPOWERED,-0.7528659103808055
27,9000,-0.0014587333333333785,-0.08391222592593865,0.07990039166665316,block,UNDERPOWERED,-0.03490652748183323
28,9000,0.06761401481481448,-0.028003778333342465,0.15533677537036225,block,UNDERPOWERED,1.4456270831020754
29,9000,0.04887054814814814,-0.037212805555556894,0.13662760574073943,block,UNDERPOWERED,1.1019821492182322
30,9000,-0.04426784444444455,-0.13234437018517603,0.03398678833334326,block,UNDERPOWERED,-1.0432607124425348
31,9000,-0.054210088888888855,-0.14077250037036787,0.03485364833333326,block,UNDERPOWERED,-1.2099544793671497
32,9000,0.05952018518518512,-0.026927638333338076,0.14783967777777335,block,UNDERPOWERED,1.3350027091121448
33,9000,0.06989991111111099,-0.017459621851857014,0.16604496666666144,block,UNDERPOWERED,1.4931649446700566
34,9000,0.08580283703703723,0.0034280192592536307,0.16951133166666124,block,UNDERPOWERED,2.0251338831433245
35,9000,-0.04610664444444437,-0.13876781962962462,0.04059523685185889,block,UNDERPOWERED,-1.0076474503124897
36,9000,-0.015067429629629536,-0.09989508796297589,0.06731364685183759,block,UNDERPOWERED,-0.35323058546330127
37,9000,-0.07705686666666628,-0.16219233037035893,0.005663732592604207,block,UNDERPOWERED,-1.7995022872994448
38,9000,0.0274507925925926,-0.06195925166666681,0.12161749962962899,block,UNDERPOWERED,0.5861588123009103
39,9000,-0.019677844444444106,-0.11038774833334175,0.06427126185184348,block,UNDERPOWERED,-0.44163615341479606
