seed,n,diff,lo,hi,how,mde,verdict,z,h1,h2
0,124427,0.0018627805862073132,-0.02823370293423362,0.03250932158348918,block,0.04341323267761154,NULL,0.1202107704663272,-0.003889610677493452,0.0067480171410172415
1,123276,-0.02660039207415328,-0.055282096028472866,0.0014318867554203646,block,0.04053366374525591,NULL,-1.8385522684903848,-0.020855187164580784,-0.03199340536063435
2,126275,0.03318445561934947,0.0033374104401868365,0.059097917745669505,block,0.039852211790479486,EDGE,2.3328460057653584,0.02692602891687086,0.03931795716122572
3,126520,-0.017915313520918796,-0.04484504123193637,0.011565922094019266,block,0.04031709477560492,NULL,-1.2449129559025927,-0.06984466462136815,0.028405720466769455
4,124227,-0.0031941478100572934,-0.031135816462322073,0.026426293613050766,block,0.0411398230160129,NULL,-0.21751859722284803,-0.017145872602547914,0.009641257869411734
5,124698,-0.004929764176918164,-0.03413547506774592,0.02226581752181656,block,0.04031018306956898,NULL,-0.34262194611608227,0.007038582774463703,-0.01579819235320514
6,123718,-0.00955046099462746,-0.04176706822503364,0.02145153575067366,block,0.04518253718417327,NULL,-0.5921851656220344,-0.03932033904074599,0.017373672598157013
7,124587,0.011445610430194843,-0.01971775487542775,0.04000582068489113,block,0.042684629267720216,NULL,0.7512271055690501,-0.02956467400295483,0.04766714634097191
8,126566,-0.009063882348603183,-0.037209000929670576,0.019065936099230775,block,0.0402198763487785,NULL,-0.6313603903056917,-0.03379681878284817,0.013228010455474278
9,125082,0.014447709502566443,-0.013277942736216894,0.04633748603584126,block,0.04260733641443581,NULL,0.9499886553113364,-0.02745767500530217,0.05273830579355376
10,123912,-0.008525005918178424,-0.03513412840025068,0.020831326653875434,block,0.03999868859780433,NULL,-0.5971077938437951,-0.020299720417826635,0.0011957775944370017
11,125837,0.03832987330170517,0.00789832040655882,0.0704487532548727,block,0.04470499315582926,EDGE,2.4020672080106427,0.051763586251621196,0.026232978418135582
12,126654,0.00953231744227067,-0.019287473049922725,0.0388368566988427,block,0.04154164320344532,NULL,0.6428632933636339,-0.022963183397777698,0.04000533243575431
13,124818,0.010847448284702618,-0.020847839187166827,0.04376280647291219,block,0.046177433800210735,NULL,0.6581147088896893,0.0031077810513958637,0.017798319140308314
14,124570,0.024794641299403352,-0.0035538472478454024,0.05502356613418769,block,0.04186546351614193,NULL,1.6592267064714528,0.008342554507973214,0.03755386669327296
15,126248,0.010346530638109239,-0.017593867414386698,0.03740151729137663,block,0.03930537623673087,NULL,0.7374737965408208,-0.045679339579124734,0.06592157023619825
16,124592,0.013684848679423031,-0.016890639701302185,0.04310480291673551,block,0.04287893351792562,NULL,0.8941282733049685,-0.0060603112949985175,0.03156896156140557
17,125679,0.005402153634789242,-0.02272154415878191,0.03539836805142351,block,0.04153848597459656,NULL,0.36435108877528155,-0.02477322150465487,0.03263188524259319
18,124794,-0.009128173897249243,-0.03808786007338825,0.017986943896889075,block,0.040076840615712685,NULL,-0.6381080612901066,-0.009450998152404112,-0.008837042681377916
19,124723,0.014059226713062891,-0.01644341878934993,0.04469721012432418,block,0.043697401803072834,NULL,0.901383538738143,-0.00843551313650432,0.03311925074550243
20,125595,-0.004035181867643296,-0.034344444072865465,0.02330718774634265,block,0.04120380449085192,NULL,-0.27436556241235843,0.031257181400446886,-0.03184312843435927
21,125392,-0.012547814320956113,-0.04157411775337103,0.01561517146231358,block,0.04087336676268641,NULL,-0.8600653963369606,-0.00614607158020361,-0.01807473276468425
22,125766,-0.0111377754454038,-0.03852564780357538,0.018431868761578703,block,0.04070771811272739,NULL,-0.7665235505169661,-0.055890424266238775,0.031117392200511348
23,125174,0.0229030075468283,-0.004926178159990192,0.05357693109858797,block,0.04181235812295371,NULL,1.5345875066265753,0.02208676991426276,0.02362663712679547
24,125118,-0.019852270656500096,-0.04908623319585005,0.008244657296859179,block,0.04097456964541614,NULL,-1.3573741998633253,-0.032908348550220845,-0.007075339079096396
25,127111,-0.04247991073418764,-0.07068364104356531,-0.013336860958965,block,0.040985925987241344,NEGATIVE,-2.9037060368304592,-0.047101446613828236,-0.038068648163809074
26,125411,-0.01654729170487424,-0.04368651329094982,0.013394000964843162,block,0.04079562495314092,NULL,-1.1363631341411986,-0.01788787191460961,-0.01531917923331947
27,125162,-0.016883679284979934,-0.044483372908691504,0.011845066407286952,block,0.04025811460339464,NULL,-1.1749448054286677,-0.007880842385230812,-0.025082519667409514
28,126035,-0.013558402031181728,-0.04253072463996433,0.017552055381457418,block,0.04294135383770183,NULL,-0.8845789049430952,-0.06936936834156382,0.0393868569425978
29,126042,0.008282304311261389,-0.021315400977436054,0.03938042213443713,block,0.04337949768283429,NULL,0.5348973769478924,-0.02690603709745632,0.035674515558565704
30,124012,0.013854514079282804,-0.016776133559642133,0.041421451714363525,block,0.04159399916015681,NULL,0.9331778528280662,0.003937569903406289,0.022857296698563335
31,125601,0.04284169393555788,0.0129325742364162,0.07168036716800018,block,0.041987234321709914,EDGE,2.8585985489020413,0.03576707381486862,0.049433951120476285
32,123193,0.011429441607883613,-0.018732427356518342,0.04269720575304776,block,0.043903954020396235,NULL,0.7293318536218171,0.01840913579073541,0.004093581291067353
33,124135,-0.027401932841932763,-0.05484672704450471,0.001759447644349361,block,0.04045661295709341,NULL,-1.8975598402759033,-0.055002017718715455,-0.0014142092229085038
34,125807,0.01678511370591479,-0.012328042716207186,0.04414256252303538,block,0.04035972104058631,NULL,1.1651448912269824,0.019354609091676044,0.014495156489582488
35,125334,-0.021924332849293245,-0.05103530216593051,0.007341646001897073,block,0.041722190390426364,NULL,-1.472187377287876,-0.0504815907457475,0.003022286335007604
36,125989,0.027414847857088177,-0.002988975505795124,0.055109376162472516,block,0.041523076586749454,NULL,1.849694985226838,0.0038958225343478786,0.04866704339417393
37,124149,0.02374784922418509,-0.004403519775952825,0.05421595620318063,block,0.04189552578797381,NULL,1.5880363575204637,-0.003428522598020879,0.046490388826419066
38,125506,0.010677677030049047,-0.020168549312368087,0.038857628386970475,block,0.04218619679999261,NULL,0.7091044481695302,-0.013597538603261267,0.032450633536367283
39,124014,0.012378664236833474,-0.015497759769040692,0.04120848650154076,block,0.04052813443460363,NULL,0.8556988997830313,0.009291952143072907,0.014940986477379528
