seed,ng,nc,diff,lo,hi,how,mde,verdict,z
0,34920,55079,-0.035566421964691855,-0.09544600146715047,0.0222935623619421,block,0.0841488404710822,NULL,-1.1841203482084033
1,37917,52078,0.03585856061873075,-0.016203817668254187,0.09553473653505579,block,0.07985989981899673,NULL,1.2579630800780146
2,34136,55857,-0.010716705303578131,-0.06869313569271325,0.04338862473856756,block,0.08010519040091295,NULL,-0.37480418781431124
3,38758,51235,0.02860564356975248,-0.031930245116084464,0.08795072221653934,block,0.08567930836091094,NULL,0.935361681525051
4,38216,51777,0.10397375938491485,0.045643189866490116,0.15779446125554378,block,0.08015487010335443,EDGE,3.6341063781999234
5,37258,52738,-0.04975807596262319,-0.10576486783567739,0.007718054633687884,block,0.08110660536273542,NULL,-1.7187438510377353
6,37436,52554,0.023256090630589702,-0.03481304943548011,0.07877623401581146,block,0.08118262189455693,NULL,0.8025598724062527
7,32577,57413,0.05490007793629845,-0.0035251855997464445,0.11577330634768312,block,0.08526301135187674,NULL,1.803915114027687
8,36899,53095,-0.06569994637910799,-0.1256843870590779,-0.004971999111604269,block,0.08627352731678309,NEGATIVE,-2.1334932047076123
9,36233,53756,0.019023824792827906,-0.03736060306240512,0.07567543857045468,block,0.0807872182085986,NULL,0.6597189922370926
10,34320,55677,-0.04024688641022283,-0.09419072748984418,0.01729575315199258,block,0.07967974204346617,NULL,-1.415103392303592
11,36117,53879,0.042035159283008765,-0.013865097556636008,0.09895129458160148,block,0.08063023401669728,NULL,1.4605572358316707
12,36057,53938,-0.04836606488596326,-0.10545921438692712,0.008452140694434339,block,0.0814128075121829,NULL,-1.6643774614118847
13,34377,55614,0.06164661830136396,0.0036793288634385155,0.1204949130477094,block,0.08348846928231604,EDGE,2.0686478338681034
14,35459,54535,-0.01996987778862469,-0.07451069584686615,0.03880664169444045,block,0.08098826128838629,NULL,-0.6908076451379127
15,36174,53813,0.014244327440719087,-0.04026538252091977,0.06402883033422707,block,0.07453940539769777,NULL,0.5353771455525932
16,34676,55317,0.005010962972801824,-0.050908986367037126,0.062260538643678476,block,0.08088261920299192,NULL,0.1735680525493875
17,33417,56575,-0.053354612043717664,-0.10608213997258571,0.004297327609700995,block,0.07888855629147287,NULL,-1.8947929561572658
18,36175,53813,0.0017952325469766592,-0.058064214136372715,0.06504377857111082,block,0.08798567365252508,NULL,0.057162676221406236
19,38277,51717,-0.01749597546789178,-0.0785156090911563,0.044145915135018525,block,0.08766658120995795,NULL,-0.5591236906321365
20,35577,54414,0.036218940828835436,-0.017972082131693205,0.09582295053331258,block,0.08132967151151507,NULL,1.2476435654555202
21,36416,53580,0.036203201274537106,-0.02006051221765894,0.09408702420410775,block,0.08158160706680716,NULL,1.2432501551442354
22,35516,54476,0.027782411882573188,-0.028831699952044775,0.08887489104693864,block,0.08412527468460823,NULL,0.9252247756200154
23,33895,56094,-0.026712386515824693,-0.08211452811116117,0.03216385008349781,block,0.08167512009773742,NULL,-0.9162768452300063
24,35637,54355,0.04475672313340655,-0.011028953035691057,0.10414467085073166,block,0.08231495503893022,NULL,1.5232926279362322
25,36418,53574,-0.028282085524186165,-0.086189600173911,0.030056436467672438,block,0.083081411843409,NULL,-0.9536990864168005
26,37075,52913,0.018661737258101267,-0.036306571614898066,0.07632805163080437,block,0.08050032321150065,NULL,0.6494687361549417
27,34438,55556,0.019175303246996074,-0.03692194663126506,0.07766942895151215,block,0.0818988203258006,NULL,0.6559464682583673
28,35460,54537,0.006886893202823489,-0.05260600662858342,0.060904352358225715,block,0.08112621432895188,NULL,0.23782961960233648
29,35218,54775,-0.06432722383597078,-0.12230291042731219,-0.0031331477814130174,block,0.0851710081109427,NEGATIVE,-2.115956936376146
30,35696,54297,0.038900551051734705,-0.01701698823758903,0.10148332489829283,block,0.08469255041847441,NULL,1.2868097581165903
31,37798,52196,-0.06044946500932183,-0.11452636437059836,-0.00452439383034525,block,0.0786187579557622,NEGATIVE,-2.154120960845432
32,37077,52917,-0.037596671453319665,-0.09281880925639976,0.02363013157677134,block,0.0832264281140112,NULL,-1.2655868235659171
33,35994,53994,0.06299467621221537,0.0013194225757162086,0.122351812627147,block,0.0865022338375189,EDGE,2.0402356346946964
34,36955,53038,-0.03966446578883741,-0.09937212924076928,0.020627508710595772,block,0.08576412262928684,NULL,-1.2956859929337574
35,35520,54474,-0.049960631259080894,-0.1053240284041064,0.00896170882085112,block,0.08168037962008043,NULL,-1.713617833034189
36,35159,54833,0.03429554205131382,-0.024352194097067976,0.09786003104194585,block,0.08734546572439189,NULL,1.1000213391843925
37,35035,54957,-0.031087440723962495,-0.08597847522302746,0.025329814259589738,block,0.07955238825564095,NULL,-1.0948019227375836
38,36656,53338,0.022576182969998183,-0.035860732693312775,0.07848817179444455,block,0.081725525463563,NULL,0.7739209409452096
39,36598,53399,-0.03375145228086913,-0.08924508177331211,0.025544657325660896,block,0.08204059136126897,NULL,-1.1525704638318708
