seed,n,diff,lo,hi,how,verdict,z
0,149555,-0.007341780615826854,-0.021404667180274,0.007613419811140388,block,NULL,-0.9917694234754992
1,149977,0.005122118724871172,-0.009429945926017655,0.018115277674914693,block,NULL,0.7289226219338875
2,145843,0.012416091276235441,-0.0024150970573982773,0.02694644240628086,block,NULL,1.6576168938443134
3,147614,0.0030037801292560617,-0.00962086929521424,0.0166732152767084,block,NULL,0.44780421247627744
4,145842,0.01821971722823329,0.0035660166471730404,0.03230516586346966,block,UNDERPOWERED,2.485111134554225
5,151595,0.006484382730301164,-0.0066915135733322815,0.01997608760084169,block,NULL,0.9531533511848133
6,145703,0.010773971709573615,-0.0032864800322620984,0.02403948442968117,block,NULL,1.5455334956020834
7,145228,0.01918913708100367,0.005470708126957497,0.033127220645181296,block,EDGE,2.7197946845286283
8,150593,-0.01601800880519011,-0.02922114573817189,-0.002876461722308664,block,NEGATIVE,-2.383381830729233
9,147863,-0.005242690869250555,-0.017648093168284616,0.00807385890894671,block,NULL,-0.7989662165614169
10,151871,0.0021702629205049284,-0.010782670820313572,0.015419336146135916,block,NULL,0.3246802582848799
11,150959,-0.005879742181651992,-0.019009797363169597,0.007297345635916469,block,NULL,-0.8761181710776972
12,147226,-0.02032521429638784,-0.033380992488717426,-0.007684783938593273,block,NEGATIVE,-3.10058880752764
13,148589,-0.002958496254769849,-0.015882568697191242,0.011303494874122797,block,NULL,-0.42658225515239306
14,145469,-0.01842729378767982,-0.031065209770769705,-0.005249056500989159,block,NEGATIVE,-2.798002635315398
15,144286,-0.03896705155039293,-0.05169437783386562,-0.025799800397417076,block,NEGATIVE,-5.8988425984053485
16,143468,0.012781944405721168,-0.0011117461743287383,0.027636999190517302,block,NULL,1.742834378842052
17,151161,0.014895376452921105,0.001253961007460619,0.028188322383754027,block,EDGE,2.167818364527392
18,141936,-0.0012075865178671208,-0.014545816425254623,0.011418174387483609,block,NULL,-0.1823160483282656
19,147412,-0.008892084769218211,-0.022778844328459384,0.005795321953829929,block,NULL,-1.2198547359485505
20,146919,0.001010080384429568,-0.013654632825872889,0.013976749092064075,block,NULL,0.1432951270021695
21,145457,0.019051678502925273,0.005659060752393484,0.03309809771863041,block,EDGE,2.7217138889571193
22,148419,-0.003110113934199743,-0.017232800383688435,0.010675351537577068,block,NULL,-0.43684091760193156
23,145527,0.023715186872539207,0.009321809697559552,0.037543205040013204,block,EDGE,3.294019445844186
24,145844,-5.8967115548147486e-05,-0.01313561065345675,0.014159821452075767,block,NULL,-0.008468334423970065
25,147922,0.01615175565500737,0.0021171630985092073,0.0291349494994311,block,EDGE,2.343408830823437
26,148109,-0.0015232025062622556,-0.015608437030473371,0.011767347020470258,block,NULL,-0.21810678163067182
27,146843,0.008218301178810061,-0.0053431215662079505,0.021363973766910863,block,NULL,1.2062393345824227
28,144036,0.015798828070760162,0.001264267265555287,0.02998295564899394,block,UNDERPOWERED,2.156444879894737
29,146333,-0.00019954487367851437,-0.013597240541406609,0.013947639970861106,block,NULL,-0.028397347276220744
30,144526,0.006909483414749007,-0.006943041391444607,0.019641275617248922,block,NULL,1.0188216418782958
31,141508,0.014018995392486744,0.0007110905380768863,0.02887592927513485,block,EDGE,1.9511367731914127
32,148627,-0.016900024894534682,-0.03066973026536158,-0.003512316067389465,block,NEGATIVE,-2.4393662924554245
33,149125,0.008583403185247362,-0.004482313496374368,0.02219312657066725,block,NULL,1.261322114895921
34,148580,0.00341903351729711,-0.011134573967842043,0.01769753667958423,block,NULL,0.4648416267987582
35,144662,0.010681450553704508,-0.00333121345027705,0.024036892894203632,block,NULL,1.5299018711437382
36,144827,0.008149032984181181,-0.006090887749812394,0.02187938022509313,block,NULL,1.1420563648612405
37,144050,-0.01719541825754939,-0.032271259980137065,-0.003934050677816373,block,NEGATIVE,-2.3786675949758718
38,148044,0.008979762773229594,-0.004845350032054929,0.021997851988936883,block,NULL,1.3113198455464947
39,146587,0.0001855553357391626,-0.014163090861696783,0.013960651352806986,block,NULL,0.025862971953221563
40,147063,0.02028246397802319,0.006921863418101021,0.03381594962605795,block,EDGE,2.9562558044051244
41,143731,0.0029541295893022457,-0.010544002338654282,0.01624458189160201,block,NULL,0.432272761904879
42,148683,0.013719120545052255,-0.00023842672093465485,0.02792938668075306,block,NULL,1.9091991271393263
43,147204,-0.003298823401537976,-0.017083435233737905,0.010377265562449228,block,NULL,-0.47089658471277684
44,145961,-0.030086118894773306,-0.04343214968479565,-0.016259480273093704,block,NEGATIVE,-4.34022208418588
45,148790,-0.005867329793668885,-0.019575408294550053,0.00707742455713002,block,NULL,-0.8629292980384672
46,147276,0.011187158803878439,-0.003026290774757917,0.026044297780041484,block,NULL,1.5084956726316339
47,140739,0.0018360227087020342,-0.011849061028812984,0.01618652256917928,block,NULL,0.2567122171479376
48,147688,-0.00650154379502732,-0.020607801582675448,0.006840433886655067,block,NULL,-0.9284962450074562
49,149196,0.00647872597120569,-0.00688892463701215,0.019469858440262014,block,NULL,0.963479204043841
50,150425,-0.027202925045703874,-0.039857902610258254,-0.01256805717232816,block,NEGATIVE,-3.9074427083543033
51,151020,-0.014494768904780853,-0.027872632764872913,-0.0009781816987742224,block,NEGATIVE,-2.1126458518798796
52,150001,-0.007675948827007784,-0.02065852894411481,0.005844294370387044,block,NULL,-1.1353192969856434
53,147912,0.021980637135594117,0.007769146518590796,0.03603662988705337,block,UNDERPOWERED,3.048114111982988
54,149762,0.017716109560502735,0.003610729022387911,0.03111737289733106,block,EDGE,2.52469455136049
55,147004,0.008335827596528012,-0.005476381596061106,0.02267132186780931,block,NULL,1.160870692017366
56,144751,0.006428971129733174,-0.008010307356342557,0.02025512777017815,block,NULL,0.8915873337816467
57,143678,-0.0004120324614762527,-0.014622106377731758,0.014914252702991697,block,NULL,-0.05468302908410212
58,146579,0.0024519201249837974,-0.011984151891751825,0.016234590220006277,block,NULL,0.34060165806195375
59,145202,-0.015873059599729955,-0.029061755348695165,-0.00173585763379356,block,NEGATIVE,-2.2770066484117444
60,147764,-0.014567824368587723,-0.02777317208621265,-0.0009579464561485815,block,NEGATIVE,-2.129567113449379
61,147368,-0.00623066065903044,-0.019858619239889966,0.007849567069213656,block,NULL,-0.881463005314331
62,148666,0.0072013775846528905,-0.006723292482145393,0.021583112479344586,block,NULL,0.9972612795958297
63,146311,0.005977677686571814,-0.007308062962763503,0.020570565438390993,block,NULL,0.840502832542426
64,147864,-0.01796650976573072,-0.030959361305954468,-0.00395346399490963,block,NEGATIVE,-2.6078535322045373
65,148224,-0.0064537456822106876,-0.020846151771260566,0.007161795659638205,block,NULL,-0.9032514241535393
66,145579,-0.0020030361521922724,-0.016531573923053745,0.011146353525289684,block,NULL,-0.28368300020457965
67,147084,-0.011188164586222793,-0.024895297925981136,0.003471145738860779,block,NULL,-1.5460802964349163
68,148201,0.00779077064257333,-0.005558329566897112,0.020842302007787198,block,NULL,1.1567624773297254
69,145305,0.0057671793813013905,-0.008110009979990203,0.019421389490103722,block,NULL,0.8211325385889972
70,152600,0.010321100917431159,-0.0033097968555161434,0.024516874179879536,block,NULL,1.453927867462167
71,148283,0.0028985116297890468,-0.010785963327853702,0.01642602321137864,block,NULL,0.41753500353804907
72,150711,0.01975701839945332,0.0064109454509160835,0.033628268672166235,block,EDGE,2.8454704744831623
73,149165,-0.0022994670331510925,-0.015273019811251938,0.011568062211979197,block,NULL,-0.3358189956919188
74,145863,0.0028848988434352907,-0.011095342891208015,0.016574628246064472,block,NULL,0.4086956107560412
75,144630,0.00033879554725857464,-0.014528797622492814,0.013753716378729323,block,NULL,0.04695672216114955
76,147085,0.004256042424448547,-0.009103919503316713,0.01843032940038754,block,NULL,0.605913744991943
77,149721,0.009875702139312492,-0.003977731915690975,0.023224363982685868,block,NULL,1.4231271546197621
78,145604,-0.005127606384439931,-0.018672907338687685,0.009023275458473845,block,NULL,-0.7257262846129396
79,148465,0.017270063651365686,0.0025992658192261473,0.0314090863156413,block,EDGE,2.3498031192937936
80,148221,0.0009755702633230667,-0.012822744416419762,0.014059242616460813,block,NULL,0.14225753425481355
81,151295,0.010297762649129238,-0.003139727024369511,0.02350689051090679,block,NULL,1.5148822582166923
82,145965,-0.0021443496728668077,-0.01632514644020436,0.01149761929129783,block,NULL,-0.30211577114866517
83,148187,-0.00924372583290023,-0.023411297888105018,0.005657547557181973,block,NULL,-1.246514581561538
84,148141,-0.013705861307808043,-0.027693886230988188,0.00032874086074808983,block,NULL,-1.9172360010613307
85,142874,0.0049232190601509185,-0.008567689013671971,0.017839144979936435,block,NULL,0.7308208264834163
86,148983,-0.0008605008625143795,-0.014396105596941312,0.012563513956983997,block,NULL,-0.12511680360501026
87,146161,0.0010098453075718106,-0.012489309734758772,0.01500485765598124,block,NULL,0.14397675116186917
88,146935,-0.0157212372817912,-0.02936043148429959,-0.001351447920117358,block,NEGATIVE,-2.200226869151526
89,146375,-0.0012433817250213641,-0.0156855678916712,0.012395046967432724,block,NULL,-0.17357051699383902
90,146412,-0.0046225719203344395,-0.018179862307343433,0.008988163537520731,block,NULL,-0.66696598442607
91,148584,0.02163355408388523,0.008575620523441501,0.03631211974273677,block,EDGE,3.05741448199571
92,148755,-0.01610702161271893,-0.029444388424889556,-0.001868004437785046,block,NEGATIVE,-2.2895810069161846
93,149690,-0.0036074554078428522,-0.016996459350294632,0.008900561158729545,block,NULL,-0.5460460386563388
94,142939,0.006187254703055256,-0.0077188520987075265,0.019893451051587262,block,NULL,0.8783618237719897
95,145330,-0.011773205807472653,-0.02622393862341627,0.0020181655532638073,block,NULL,-1.6340892592762792
