n,obs,null,diff,lo,hi,years,lmb,lfv,hz,mode,share
5704,0.8851683029453016,0.8967391304347826,-0.011570827489481073,-0.022538829466588195,-0.0007637270639643782,"{2016: -0.005, 2017: -0.006, 2018: -0.028, 2019: 0.025, 2020: -0.015, 2021: 0.011, 2022: -0.019, 2023: -0.026, 2024: -0.019, 2025: -0.056, 2026: 0.023}",40,10,120,wick,0.5167602826599021
5704,0.7591164095371669,0.771774193548387,-0.012657784011220204,-0.027464986648865163,0.0015890652557319102,"{2016: 0.021, 2017: -0.02, 2018: -0.032, 2019: -0.008, 2020: -0.024, 2021: 0.034, 2022: -0.018, 2023: -0.033, 2024: -0.037, 2025: -0.018, 2026: 0.006}",40,10,24,wick,0.5167602826599021
5704,0.8222300140252454,0.8379733520336604,-0.01574333800841516,-0.02829685381513735,-0.002751881036540285,"{2016: 0.019, 2017: -0.016, 2018: -0.03, 2019: -0.009, 2020: -0.022, 2021: 0.019, 2022: -0.027, 2023: -0.033, 2024: -0.044, 2025: -0.029, 2026: 0.014}",40,10,48,wick,0.5167602826599021
5704,0.916374474053296,0.9257363253856944,-0.009361851332398325,-0.01894112354690653,0.00025374201647141635,"{2016: -0.002, 2017: -0.029, 2018: -0.005, 2019: 0.012, 2020: -0.004, 2021: 0.024, 2022: -0.023, 2023: -0.016, 2024: -0.023, 2025: -0.038, 2026: 0.001}",40,10,240,wick,0.5167602826599021
5704,0.8276647966339411,0.8411991584852733,-0.013534361851332409,-0.026958849768496822,-0.0003390786262624504,"{2016: -0.025, 2017: 0.016, 2018: -0.05, 2019: 0.038, 2020: -0.017, 2021: 0.017, 2022: -0.038, 2023: -0.026, 2024: -0.021, 2025: -0.048, 2026: 0.011}",40,10,120,close,0.5167602826599021
4344,0.8934162062615101,0.8926795580110498,0.0007366482504603947,-0.011392283616325006,0.012844672169798775,"{2016: -0.009, 2017: 0.001, 2018: -0.042, 2019: 0.021, 2020: -0.0, 2021: 0.031, 2022: -0.013, 2023: 0.003, 2024: 0.002, 2025: -0.02, 2026: 0.051}",20,10,120,wick,0.39354955607899983
6410,0.8833073322932917,0.9012168486739468,-0.017909516380655237,-0.027768288088756296,-0.007709918767341839,"{2016: -0.015, 2017: -0.03, 2018: -0.015, 2019: 0.02, 2020: -0.006, 2021: -0.003, 2022: -0.021, 2023: -0.038, 2024: -0.038, 2025: -0.041, 2026: -0.015}",60,10,120,wick,0.5807211451349882
4452,0.8870170709793351,0.8973495058400719,-0.010332434860736761,-0.022119055518690565,0.002302476678512243,"{2016: -0.001, 2017: -0.021, 2018: -0.045, 2019: 0.029, 2020: -0.019, 2021: 0.034, 2022: -0.011, 2023: -0.017, 2024: -0.018, 2025: -0.046, 2026: -0.006}",40,5,120,wick,0.40333393730748324
6867,0.8855395369156837,0.8953545944371631,-0.00981505752147955,-0.020255494604269814,0.0005181756576481215,"{2016: 0.002, 2017: 0.004, 2018: -0.023, 2019: 0.022, 2020: -0.03, 2021: -0.008, 2022: -0.001, 2023: -0.023, 2024: -0.022, 2025: -0.045, 2026: 0.033}",40,20,120,wick,0.6221235731110708
3146,0.8919262555626192,0.8959949141767324,-0.004068658614113171,-0.01809612504016564,0.01031120885078596,"{2016: -0.013, 2017: 0.008, 2018: -0.068, 2019: 0.022, 2020: -0.018, 2021: 0.02, 2022: -0.007, 2023: 0.007, 2024: -0.014, 2025: -0.005, 2026: 0.032}",20,5,120,wick,0.2850154013408226
7480,0.884090909090909,0.8979946524064171,-0.01390374331550803,-0.023514863741603147,-0.0041313982358949985,"{2016: -0.01, 2017: -0.006, 2018: -0.016, 2019: 0.02, 2020: -0.012, 2021: -0.014, 2022: -0.003, 2023: -0.037, 2024: -0.034, 2025: -0.049, 2026: 0.019}",60,20,120,wick,0.6776589961949628
