t,pc,op,px,up,through,i0,dow,prange,obs,away
2016-01-04 23:01:00+00:00,1074.646,1074.404,1073.507,False,False,1339,0,21.728999999999814,False,False
2016-01-06 23:01:00+00:00,1093.713,1094.12,1093.962,True,False,3971,2,20.26800000000003,True,True
2016-01-07 23:01:00+00:00,1108.894,1109.094,1109.008,True,False,5331,3,18.707000000000107,True,True
2016-01-11 23:01:00+00:00,1094.174,1095.006,1094.557,True,False,8038,0,15.033999999999878,False,True
2016-01-12 23:01:00+00:00,1087.094,1087.272,1087.583,True,False,9392,1,15.844000000000051,True,True
2016-01-13 23:01:00+00:00,1093.338,1093.932,1093.456,True,False,10753,2,15.805000000000064,True,True
2016-01-14 23:01:00+00:00,1078.246,1079.212,1079.1,True,False,12090,3,24.036000000000058,True,False
2016-01-17 23:01:00+00:00,1089.218,1089.508,1089.532,True,False,13444,6,21.172000000000025,False,True
2016-01-18 23:01:00+00:00,1089.148,1088.94,1089.123,False,False,14528,0,5.904999999999973,True,True
2016-01-20 23:01:00+00:00,1101.135,1100.519,1101.124,False,False,17220,2,22.83400000000006,True,True
2016-01-21 23:01:00+00:00,1101.095,1101.978,1101.48,True,False,18590,3,12.155999999999949,True,True
2016-01-24 23:01:00+00:00,1097.796,1097.486,1097.723,False,False,19930,6,8.912000000000035,True,True
2016-01-25 23:01:00+00:00,1107.952,1108.439,1108.444,True,False,21255,0,11.682000000000016,True,True
2016-01-27 23:01:00+00:00,1124.759,1125.838,1125.259,True,False,23940,2,13.245999999999867,True,True
2016-02-01 23:01:00+00:00,1128.358,1128.58,1128.559,True,False,27946,0,14.509999999999991,True,True
2016-02-04 23:01:00+00:00,1155.756,1155.03,1155.6,False,False,31947,3,18.054000000000087,True,True
2016-02-09 23:01:00+00:00,1188.936,1189.624,1189.356,True,False,36004,1,13.288999999999987,True,True
2016-02-11 23:01:00+00:00,1246.661,1246.73,1247.38,True,False,38737,3,67.6210000000001,True,True
2016-02-14 23:01:00+00:00,1238.096,1235.341,1233.543,False,False,40109,6,15.899999999999864,False,False
2016-02-15 23:01:00+00:00,1209.348,1208.493,1209.248,False,False,41246,0,33.41899999999987,True,True
2016-02-16 23:01:00+00:00,1199.964,1200.891,1201.662,True,False,42623,1,26.076999999999998,False,True
2016-02-17 23:01:00+00:00,1208.626,1209.219,1209.406,True,False,44000,2,18.123000000000047,True,False
2016-02-18 23:01:00+00:00,1230.954,1230.598,1230.654,False,False,45361,3,39.22700000000009,True,True
2016-02-21 23:01:00+00:00,1226.407,1226.318,1225.934,False,False,46730,6,14.557999999999993,False,True
2016-02-23 23:01:00+00:00,1226.997,1224.863,1225.554,False,False,49475,1,21.21699999999987,True,False
2016-02-25 23:01:00+00:00,1233.274,1232.202,1232.198,False,False,52229,3,22.350000000000136,True,False
2016-02-28 23:01:00+00:00,1222.896,1222.686,1220.146,False,False,53603,6,29.101000000000113,True,True
2016-02-29 23:01:00+00:00,1238.681,1238.174,1238.425,False,False,54980,0,25.491000000000213,True,True
2016-03-01 23:01:00+00:00,1232.22,1231.63,1231.366,False,False,56350,1,21.416999999999916,True,False
2016-03-02 23:01:00+00:00,1239.932,1240.178,1240.106,True,False,57713,2,19.392000000000053,True,True
2016-03-03 23:01:00+00:00,1265.13,1263.533,1263.318,False,False,59071,3,31.03800000000001,False,True
2016-03-06 23:01:00+00:00,1259.046,1259.844,1261.074,True,False,60448,6,29.903999999999996,True,True
2016-03-07 23:01:00+00:00,1267.356,1265.56,1266.568,False,False,61819,0,16.414999999999964,True,True
2016-03-08 23:01:00+00:00,1261.772,1261.45,1261.618,False,False,63192,1,17.819000000000187,True,True
2016-03-10 23:01:00+00:00,1272.348,1270.97,1270.41,False,False,65920,3,36.64800000000014,False,False
2016-03-13 22:01:00+00:00,1250.157,1250.828,1250.341,True,False,67298,6,36.69200000000001,True,True
2016-03-15 22:01:00+00:00,1232.605,1233.154,1233.224,True,False,70021,1,12.66599999999994,True,False
2016-03-16 22:01:00+00:00,1262.493,1261.164,1261.446,False,False,71369,2,37.40000000000009,False,True
2016-03-17 22:01:00+00:00,1257.949,1256.815,1257.184,False,False,72740,3,16.541999999999916,True,False
2016-03-20 22:01:00+00:00,1255.196,1253.873,1254.127,False,False,74104,6,19.177999999999884,True,False
2016-03-22 22:01:00+00:00,1248.197,1247.35,1248.018,False,False,76806,1,17.909999999999854,True,True
2016-03-23 22:01:00+00:00,1220.334,1220.634,1221.666,True,False,78150,2,34.07899999999995,False,True
2016-03-27 22:01:00+00:00,1217.209,1215.169,1215.682,False,False,79513,6,12.84900000000016,False,True
2016-03-29 22:01:00+00:00,1242.384,1241.436,1241.334,False,False,82204,1,27.947999999999865,False,True
